district,mae,smape,r2
Tikamgarh,0.039116338,19.922634959220886,0.17846658566625462
Bhadrak,0.038688693,19.240084290504456,0.012454402177438872
Guna,0.03856898,18.047785758972168,-0.0773504037295496
Raisen,0.038223002,18.581439554691315,0.07134367403406994
Sambalpur,0.038039263,16.03962630033493,-0.7462875680448777
Sidhi,0.03781805,15.797774493694305,-0.37467170501283964
Jorhat,0.037793405,14.081349968910217,-1.7605319019273704
Koppal,0.037725534,16.33259207010269,-0.14610252725344086
Gumla,0.03739738,17.753884196281433,-0.08042236389573354
Seoni,0.0373341,15.926292538642883,-0.3794501127423888
South Goa,0.037253767,15.463526546955109,-0.6364278956651683
Kheda,0.037218507,17.517229914665222,-0.08976493645603711
Gurdaspur,0.037043873,14.568373560905457,-1.3784545446566119
Bagalkot,0.037017826,17.59694516658783,0.07001560141006846
Lakhisarai,0.037001815,16.792763769626617,-0.6578743773351068
Chittaurgarh,0.036967196,16.591358184814453,-0.14726543591661345
Central,0.03645385,14.441254734992981,-1.9856920591279312
Nabarangapur,0.03577378,15.071800351142883,-0.48251438413214176
Chandigarh,0.035657182,14.077287912368774,-1.2379879827071623
Kalahandi,0.0354265,16.294759511947632,0.18968459416060868
Malkangiri,0.035353832,15.055543184280396,-0.14749076390354143
Senapati,0.034943756,14.924712479114532,-1.0649134156209743
Udupi,0.03479169,14.256425201892853,-0.45707884422576406
The Nilgiris,0.034774363,14.953015744686127,-0.4712522348190973
Pathanamthitta,0.034674276,14.661893248558044,-0.44368899836915565
Sahibzada Ajit Singh Nagar,0.033886276,13.353408873081207,-0.9926039963499798
Hailakandi,0.033846505,14.276248216629028,-0.3681600341054223
Barwani,0.033751313,17.055971920490265,-0.03602223003092475
Dakshin Bastar Dantewada,0.033316478,14.838315546512604,-0.11232835354356796
Muktsar,0.03306148,14.074398577213287,-0.33760814420071483
Burhanpur,0.033031672,14.454054832458496,-0.38410683693016634
Kulgam,0.032674335,13.721446692943573,-0.4140432531531786
Chikkaballapura,0.032613482,13.052621483802795,-0.5340559671679834
Haveri,0.032064356,13.176226615905762,-0.18422740363050827
Marigaon,0.03171639,12.492723017930984,-0.8345120952675278
Tapi,0.031666018,12.404094636440277,-1.7848633254466248
Bageshwar,0.031652495,12.466852366924286,-1.2162882765849137
Hazaribagh,0.031623624,16.25809818506241,0.2923325842780312
Bishnupur,0.031565912,13.127975165843964,-8.18036281654099
Rajgarh,0.03152201,16.737577319145203,0.405548469409139
Kullu,0.03133875,12.977956235408783,-0.591354063775527
Purba Champaran,0.030776324,10.282235592603683,-7633.9232011327995
Saraikela-Kharsawan,0.030625183,13.805106282234192,-0.10846561659252618
