district,state,bio_age_5_17_total,bio_age_17_plus_total,bio_total,bio_age5_ratio,bio_age17_ratio,bio_dependency_ratio,bio_7day_avg,bio_7day_std,bio_daily_change,bio_daily_pct_change,bio_state_total_avg,bio_district_total_avg,bio_rank_in_state,avg_quarter,pincode_count,demo_age_5_17_total,demo_age_17_plus_total,demo_total,demo_age5_ratio,demo_age17_ratio,demo_dependency_ratio,demo_7day_avg,demo_7day_std,demo_daily_change,demo_daily_pct_change,demo_rank_in_state,enrol_age_0_5_total,enrol_age_5_17_total,enrol_age_18_plus_total,enrol_total,enrol_minor_ratio,enrol_adult_ratio,enrol_7day_avg,enrol_7day_std,enrol_daily_change,enrol_daily_pct_change,enrol_rank_in_state,enrol_total_national_rank,enrol_total_state_rank,enrol_total_percentile,bio_total_national_rank,bio_total_state_rank,bio_total_percentile,demo_total_national_rank,demo_total_state_rank,demo_total_percentile,enrol_minor_ratio_national_rank,enrol_minor_ratio_state_rank,enrol_minor_ratio_percentile,enrol_adult_ratio_national_rank,enrol_adult_ratio_state_rank,enrol_adult_ratio_percentile,bio_dependency_ratio_national_rank,bio_dependency_ratio_state_rank,bio_dependency_ratio_percentile,enrol_daily_pct_change_national_rank,enrol_daily_pct_change_state_rank,enrol_daily_pct_change_percentile,bio_7day_std_national_rank,bio_7day_std_state_rank,bio_7day_std_percentile,enrol_7day_std_national_rank,enrol_7day_std_state_rank,enrol_7day_std_percentile,performance_tier,bio_enrol_ratio
Kachchh,Gujarat,40399.0,33207.0,73606.0,0.5394,0.4538,1.2338,329.2684,58.3426,17.3732,7.3034,3196514.0,123961.0,8.0,2.2488,53,2106.0,16191.0,18297.0,0.1299,0.8693,0.1511,1543.303,96.3508,76.3636,4.2274,6.0,1589.0,1314.0,216.0,3119.0,0.8845,0.1082,180.1786,66.7598,59.4286,89.8347,8.0,78,8,65.2,98,7,56.1,81,5,63.8,192,12,13.6,29,6,87.3,66,3,70.6,32,3,86.0,192,12,13.6,86,4,61.5,Above average,23.5917
Mahesana,Gujarat,25342.0,31536.0,56878.0,0.4379,0.554,0.8195,276.0378,67.3782,39.7022,17.966,3196514.0,99913.0,13.0,2.2584,47,826.0,5692.0,6518.0,0.1279,0.8712,0.1474,1005.1667,98.3937,58.0,5.9273,10.0,1432.0,350.0,145.0,1927.0,0.9096,0.0848,198.4074,17.2651,23.2222,12.1545,17.0,108,14,51.6,127,8,43.0,154,10,30.8,173,6,22.2,47,12,79.2,137,15,38.5,124,13,44.3,181,11,18.6,137,14,38.5,Above average,29.501
Morbi,Gujarat,13714.0,6275.0,19989.0,0.6944,0.2993,2.4708,429.2244,90.5873,42.3171,15.8273,3196514.0,31879.0,27.0,2.2683,11,1292.0,7244.0,8536.0,0.1504,0.8486,0.1772,1190.619,34.4112,22.7143,2.2475,23.0,3773.0,1457.0,462.0,5692.0,0.8999,0.0963,283.8369,142.408,142.0714,95.1193,11.0,50,5,77.8,200,15,10.0,135,7,39.4,180,9,19.0,41,8,81.9,13,1,94.6,29,2,87.3,153,4,31.2,40,2,82.4,Top 25%,3.5112
Patan,Gujarat,21188.0,21779.0,42967.0,0.4597,0.5342,0.8852,407.0716,71.7688,84.5287,19.3671,3196514.0,73949.0,20.0,2.2644,23,124.0,1009.0,1133.0,0.1093,0.8898,0.1228,984.5,210.0107,297.0,35.5263,21.0,2973.0,1484.0,493.0,4950.0,0.871,0.1236,192.8553,79.2118,104.4737,86.0964,9.0,56,6,75.1,160,13,28.1,209,15,5.9,198,13,10.9,20,5,91.4,124,13,44.3,35,4,84.6,173,8,22.2,71,3,68.3,Top 25%,8.6784
Rajkot,Gujarat,47781.0,52513.0,100294.0,0.4648,0.5277,0.9681,433.3089,81.4617,38.3902,13.4105,3196514.0,168711.0,4.0,2.2488,52,3909.0,47877.0,51786.0,0.0756,0.9239,0.082,2247.7596,101.8516,-10.2609,-0.3374,3.0,5454.0,2281.0,668.0,8403.0,0.9026,0.0932,284.8642,42.0327,47.2593,20.8983,5.0,27,3,88.2,48,4,78.7,29,3,87.3,179,8,19.5,43,10,81.0,105,9,52.9,97,10,56.6,161,5,27.6,107,8,52.0,Top 25%,11.9341
Surat,Gujarat,73381.0,80294.0,153675.0,0.4898,0.5027,1.025,536.6295,67.9991,23.8587,14.9936,3196514.0,281599.0,2.0,2.2536,73,14780.0,131251.0,146031.0,0.1063,0.8933,0.1206,4055.5604,172.2537,-49.1892,-0.569,1.0,7022.0,3099.0,409.0,10530.0,0.9299,0.0661,452.8175,61.6944,83.5238,17.8792,3.0,15,2,93.7,14,2,94.1,2,1,99.5,145,2,34.8,76,16,66.1,95,5,57.5,107,12,52.0,178,10,19.9,92,6,58.8,Top 10%,14.5926
Surendranagar,Gujarat,26761.0,28766.0,55527.0,0.4962,0.498,1.0405,413.3615,80.8031,14.0687,10.141,3196514.0,96238.0,14.0,2.2519,33,229.0,1713.0,1942.0,0.1205,0.8783,0.137,906.75,69.4839,109.0,16.1162,16.0,1344.0,905.0,190.0,2439.0,0.9063,0.0886,245.5556,35.9839,50.8889,21.2924,10.0,91,11,59.3,129,9,42.1,197,13,11.3,178,7,19.9,44,11,80.5,92,4,58.8,94,8,57.9,162,6,27.1,116,11,48.0,Above average,22.757
Vadodara,Gujarat,38436.0,72913.0,111349.0,0.3601,0.6347,0.5938,355.7528,71.2427,33.4472,15.5182,3196514.0,201417.0,3.0,2.2535,72,236.0,2371.0,2607.0,0.0905,0.9091,0.0995,2407.0,282.8427,400.0,18.1242,4.0,1787.0,650.0,287.0,2724.0,0.8537,0.1377,144.6083,36.501,23.625,22.8305,6.0,87,10,61.1,31,3,86.4,189,11,14.9,207,15,6.8,15,3,93.7,177,17,20.4,90,7,59.7,174,9,21.7,115,10,48.4,Above average,40.862
Valsad,Gujarat,20970.0,24022.0,44992.0,0.4693,0.5223,0.9235,328.9688,48.0313,12.8296,10.7165,3196514.0,84024.0,16.0,2.2519,34,1589.0,6290.0,7879.0,0.225,0.7738,0.3038,1124.1042,157.6862,-146.0,-12.6622,12.0,1476.0,548.0,150.0,2174.0,0.9279,0.0689,390.1,65.2804,72.6,19.4576,15.0,97,12,56.6,151,12,32.1,140,8,37.1,151,3,32.1,69,14,69.2,119,12,46.6,102,11,54.3,204,14,8.1,88,5,60.6,Above average,20.686
Ambala,Haryana,14386.0,24615.0,39001.0,0.3739,0.62,0.6365,511.8384,87.2865,33.2763,15.9028,1635454.0,72756.0,12.0,2.25,20,1587.0,9457.0,11044.0,0.1455,0.852,0.1712,745.1667,43.2832,-9.5333,-2.753,17.0,245.0,23.0,13.0,281.0,0.9504,0.0461,281.0,0.0,0.0,0.0,14.0,201,9,9.3,168,7,24.4,114,8,48.9,107,6,52.0,117,5,47.5,173,6,22.2,140,4,20.8,156,9,29.9,149,5,16.7,Bottom 25%,138.3014
Faridabad,Haryana,26618.0,31290.0,57908.0,0.406,0.5894,0.7283,1017.4531,175.6355,121.6111,18.9195,1635454.0,118951.0,1.0,2.2593,14,11027.0,69218.0,80245.0,0.1345,0.8646,0.156,2678.8644,172.9303,72.1333,3.4288,1.0,7025.0,1817.0,194.0,9036.0,0.9691,0.0291,614.9227,284.0231,224.5455,94.0607,1.0,24,1,89.6,125,2,43.9,12,1,95.0,53,5,76.5,166,6,25.3,153,4,31.2,30,2,86.9,68,2,69.7,14,1,94.1,Top 25%,6.4079
Gurugram,Haryana,15507.0,19130.0,34637.0,0.4399,0.5545,0.8062,378.6456,48.4327,12.0111,8.7746,1635454.0,70791.0,13.0,2.2444,24,5713.0,42246.0,47959.0,0.1161,0.8829,0.1318,1257.7313,127.849,75.5556,6.8012,2.0,2792.0,941.0,243.0,3976.0,0.8988,0.0975,318.1167,155.9875,110.1111,132.6432,2.0,64,2,71.5,176,9,20.8,32,2,86.0,183,9,17.6,40,3,82.4,142,2,36.2,19,1,91.9,203,10,8.6,32,3,86.0,Above average,8.7093
Hisar,Haryana,27638.0,33502.0,61140.0,0.4215,0.5735,0.7702,770.0202,164.7534,150.3143,21.1026,1635454.0,115867.0,2.0,2.2571,18,2740.0,22161.0,24901.0,0.1115,0.8871,0.1264,962.1343,93.7975,20.7692,1.8123,6.0,350.0,46.0,10.0,406.0,0.973,0.0246,406.0,0.0,0.0,0.0,5.0,193,8,13.1,119,1,46.6,63,6,71.9,40,4,82.4,185,7,16.7,150,3,32.6,140,4,20.8,78,4,65.2,149,5,16.7,Bottom 25%,150.2211
Kaithal,Haryana,18383.0,24935.0,43318.0,0.3848,0.6135,0.6822,890.4735,185.5213,157.8636,27.2199,1635454.0,79936.0,9.0,2.25,11,2129.0,14378.0,16507.0,0.1349,0.8622,0.1585,936.3407,69.9831,-36.6842,-6.4563,14.0,406.0,19.0,10.0,435.0,0.9748,0.0229,435.0,0.0,0.0,0.0,15.0,189,6,14.9,159,4,28.5,88,7,60.6,33,3,85.5,191,8,14.0,168,5,24.4,140,4,20.8,60,1,73.3,149,5,16.7,Bottom 25%,99.3532
Kurukshetra,Haryana,11202.0,24020.0,35222.0,0.3047,0.693,0.4462,776.4958,140.1059,10.2083,7.3567,1635454.0,69992.0,14.0,2.25,12,1379.0,8684.0,10063.0,0.133,0.8653,0.1537,706.6488,73.8813,11.5714,1.3459,19.0,72.0,10.0,11.0,93.0,0.8723,0.117,93.0,0.0,0.0,0.0,20.0,214,10,3.4,173,8,22.2,122,9,45.2,197,10,11.3,25,1,89.1,203,10,8.6,140,4,20.8,101,6,54.8,149,5,16.7,Bottom 25%,374.7021
Nuh,Haryana,12903.0,13191.0,26094.0,0.4861,0.5126,1.0069,987.7722,165.4869,159.6667,29.6705,1635454.0,68325.0,16.0,2.25,6,3120.0,25233.0,28353.0,0.1111,0.8883,0.1255,1682.8356,175.9142,76.625,7.5238,5.0,2420.0,360.0,53.0,2833.0,0.9759,0.0228,985.6667,58.4542,-82.6667,-6.2296,3.0,86,3,61.5,193,10,13.1,56,4,75.1,27,2,88.2,192,9,13.6,99,1,55.7,218,10,1.8,77,3,65.6,94,4,57.9,Above average,9.2075
Panipat,Haryana,15835.0,24457.0,40292.0,0.3569,0.6386,0.5707,807.4757,150.9009,83.5,14.3079,1635454.0,79773.0,10.0,2.25,12,6142.0,35858.0,42000.0,0.1381,0.8599,0.1605,2658.3875,83.843,-14.625,-2.7082,3.0,2120.0,256.0,24.0,2400.0,0.9878,0.0113,1038.5,228.3955,323.0,36.8301,4.0,92,4,58.8,165,5,25.8,38,3,83.3,9,1,96.4,213,10,4.1,182,8,18.1,63,3,71.9,88,5,60.6,17,2,92.8,Above average,16.7813
Rohtak,Haryana,12582.0,27132.0,39714.0,0.3059,0.689,0.4487,599.7634,92.7413,18.0448,8.3298,1635454.0,75970.0,11.0,2.2537,17,1642.0,8339.0,9981.0,0.1586,0.8357,0.1899,421.166,33.6861,-5.75,0.9522,21.0,420.0,56.0,52.0,528.0,0.8998,0.0983,528.0,0.0,0.0,0.0,12.0,181,5,18.6,167,6,24.9,124,10,44.3,181,8,18.6,38,2,83.3,202,9,9.0,140,4,20.8,146,7,34.4,149,5,16.7,Bottom 25%,75.0737
Sonipat,Haryana,16445.0,27495.0,43940.0,0.3611,0.6352,0.5855,524.2752,88.7737,20.5595,11.1551,1635454.0,84653.0,8.0,2.25,21,3713.0,22930.0,26643.0,0.1308,0.8664,0.1519,905.2139,52.3111,-4.3,-0.5884,7.0,360.0,46.0,23.0,429.0,0.9442,0.0535,429.0,0.0,0.0,0.0,7.0,190,7,14.5,154,3,30.8,59,5,73.8,119,7,46.6,99,4,55.7,179,7,19.5,140,4,20.8,155,8,30.3,149,5,16.7,Bottom 25%,102.186
Bilaspur,Himachal Pradesh,3209.0,6422.0,9631.0,0.3254,0.6608,0.5037,110.8805,26.324,-0.9255,5.2773,396234.0,21906.0,9.0,2.2553,24,4831.0,49637.0,54468.0,0.0913,0.9079,0.1011,1976.0674,753.4617,241.625,21.6167,1.0,1156.0,309.0,11.0,1476.0,0.9919,0.0074,1476.0,0.0,0.0,0.0,1.0,128,1,41.9,213,1,3.8,25,1,88.9,2,1,98.9,217,1,1.6,196,1,11.5,140,1,20.8,219,1,1.1,149,1,16.7,Below average,6.5206
Bilaspur,Himachal Pradesh,3209.0,6422.0,9631.0,0.3254,0.6608,0.5037,110.8805,26.324,-0.9255,5.2773,396234.0,21906.0,9.0,2.2553,24,77.0,516.0,593.0,0.1295,0.8652,0.1488,210.1667,16.2654,-16.3333,-7.8958,10.0,1156.0,309.0,11.0,1476.0,0.9919,0.0074,1476.0,0.0,0.0,0.0,1.0,128,1,41.9,213,1,3.8,218,2,1.6,2,1,98.9,217,1,1.6,196,1,11.5,140,1,20.8,219,1,1.1,149,1,16.7,Below average,6.5206
Baramulla,Jammu and Kashmir,10577.0,18037.0,28614.0,0.3669,0.6293,0.5926,534.9226,96.2626,10.8929,7.9,791646.0,61935.0,3.0,2.25,14,1561.0,10453.0,12014.0,0.1276,0.8708,0.1468,884.5756,96.3438,-43.7333,-2.8409,3.0,136.0,39.0,12.0,187.0,0.9309,0.0638,187.0,0.0,0.0,0.0,3.0,207,4,6.6,189,2,14.9,108,1,51.6,142,4,36.2,82,2,63.3,178,4,19.9,140,1,20.8,137,3,38.5,149,1,16.7,Bottom 25%,152.2021
Doda,Jammu and Kashmir,7913.0,8125.0,16038.0,0.4266,0.5679,0.8623,424.4098,59.49,-5.7436,-0.0394,791646.0,36779.0,11.0,2.2821,12,139.0,1068.0,1207.0,0.1159,0.8802,0.1312,423.8333,31.296,-13.6667,4.709,14.0,261.0,260.0,17.0,538.0,0.9666,0.0315,538.0,0.0,0.0,0.0,2.0,179,1,19.5,205,4,7.7,208,5,6.3,60,1,73.3,162,5,27.1,126,3,43.4,140,1,20.8,190,4,14.5,149,1,16.7,Bottom 25%,29.7551
Jammu,Jammu and Kashmir,15420.0,28161.0,43581.0,0.3379,0.655,0.5468,275.479,56.4698,10.3269,7.6363,791646.0,98799.0,1.0,2.25,41,176.0,1540.0,1716.0,0.1024,0.8947,0.1146,374.2,50.9916,-36.8,-6.5935,5.0,55.0,16.0,10.0,81.0,0.8659,0.122,81.0,0.0,0.0,0.0,1.0,218,5,1.8,157,1,29.4,200,4,10.0,203,5,8.6,22,1,90.5,188,5,15.4,140,1,20.8,194,5,12.7,149,1,16.7,Bottom 25%,531.4756
Punch,Jammu and Kashmir,8729.0,9502.0,18231.0,0.4852,0.5139,0.9623,1382.8583,408.9829,-123.8125,-0.945,791646.0,46376.0,7.0,2.25,4,1612.0,7634.0,9246.0,0.1775,0.8213,0.2171,1040.7238,198.3235,-31.3,4.498,7.0,142.0,59.0,10.0,211.0,0.9481,0.0472,211.0,0.0,0.0,0.0,11.0,205,3,7.7,202,3,9.0,130,2,41.6,110,3,50.7,113,4,49.3,107,2,52.0,140,1,20.8,13,1,94.6,149,1,16.7,Bottom 25%,85.9953
Shopian,Jammu and Kashmir,3887.0,3605.0,7492.0,0.5128,0.4867,1.0699,1751.4708,244.7885,107.25,6.9426,791646.0,15529.0,18.0,2.25,1,572.0,1846.0,2418.0,0.2364,0.7628,0.3095,1500.25,448.9177,-349.5,-18.3176,16.0,308.0,84.0,20.0,412.0,0.9492,0.0484,412.0,0.0,0.0,0.0,18.0,192,2,13.6,215,5,3.2,192,3,13.6,109,2,51.1,112,3,49.8,87,1,61.1,140,1,20.8,42,2,81.4,149,1,16.7,Bottom 25%,18.1404
Ranchi,Jharkhand,31773.0,62042.0,93815.0,0.3411,0.6548,0.5356,953.9893,252.3296,-81.2231,2.5972,2026297.0,177774.0,2.0,2.2479,31,926.0,8746.0,9672.0,0.095,0.9043,0.105,1809.1667,184.7323,-113.0,-4.7543,5.0,1603.0,1436.0,242.0,3281.0,0.9134,0.0816,235.6154,22.1536,28.5385,12.4129,3.0,75,1,66.5,60,1,73.3,127,1,43.0,168,1,24.4,55,1,75.6,190,1,14.5,123,1,44.8,40,1,82.4,131,1,41.2,Above average,28.5847
Bengaluru Rural,Karnataka,85055.0,96575.0,181630.0,0.4668,0.527,0.9406,350.5207,48.9084,23.0576,11.6305,2635954.0,335120.0,1.0,2.251,119,18417.0,114040.0,132457.0,0.142,0.8569,0.1665,1012.5029,70.7015,34.0635,8.8187,1.0,10047.0,3513.0,2566.0,16126.0,0.8331,0.1606,218.8369,32.6068,-19.2533,-4.289,1.0,5,1,98.2,9,1,96.4,3,1,99.1,211,6,5.0,11,2,95.5,113,6,49.3,216,7,2.7,202,4,9.0,118,1,47.1,Top 10%,11.2625
Bidar,Karnataka,17680.0,19743.0,37423.0,0.4749,0.5214,0.9383,352.2962,50.8526,23.82,9.4771,2635954.0,79708.0,12.0,2.25,25,856.0,4447.0,5303.0,0.1675,0.8311,0.2035,699.2143,65.7546,58.5714,10.1339,19.0,107.0,52.0,10.0,169.0,0.9353,0.0588,169.0,0.0,0.0,0.0,17.0,210,7,5.4,170,6,23.5,161,5,27.6,137,5,38.5,88,3,60.6,116,7,48.0,140,1,20.8,199,3,10.4,149,2,16.7,Bottom 25%,220.1353
Kalaburagi,Karnataka,32686.0,34153.0,66839.0,0.4773,0.5148,1.0943,204.2258,40.5432,7.1617,7.1684,2635954.0,134602.0,4.0,2.2541,39,3266.0,11226.0,14492.0,0.2291,0.7684,0.3005,447.1607,137.5607,75.3846,25.2398,3.0,560.0,31.0,17.0,608.0,0.9704,0.0279,608.0,0.0,0.0,0.0,6.0,175,4,21.3,112,2,49.8,99,2,55.7,49,3,78.3,172,5,22.6,82,4,63.3,140,1,20.8,212,5,4.5,149,2,16.7,Bottom 25%,109.7521
Mysuru,Karnataka,24371.0,30905.0,55276.0,0.4407,0.5475,1.0158,122.0101,31.5613,4.2713,11.0787,2635954.0,109107.0,6.0,2.2575,65,1258.0,7166.0,8424.0,0.1641,0.833,0.2002,421.2213,55.351,31.2778,8.0405,6.0,805.0,157.0,90.0,1052.0,0.8067,0.1871,263.0,0.0,0.0,0.0,7.0,148,2,33.3,131,4,41.2,136,4,38.9,216,7,2.7,5,1,98.2,98,5,56.1,140,1,20.8,217,7,2.3,149,2,16.7,Below average,52.4938
Raichur,Karnataka,28666.0,26764.0,55430.0,0.5085,0.4885,1.0975,404.6236,68.4229,44.0333,12.6483,2635954.0,110877.0,5.0,2.25,30,2232.0,8801.0,11033.0,0.2069,0.7914,0.2679,750.8286,51.0015,45.9286,6.7731,14.0,290.0,127.0,11.0,428.0,0.972,0.0256,428.0,0.0,0.0,0.0,5.0,191,6,14.0,130,3,41.6,115,3,48.4,44,2,80.5,178,6,19.9,81,3,63.8,140,1,20.8,177,2,20.4,149,2,16.7,Bottom 25%,129.2075
Vijayapura,Karnataka,27128.0,26340.0,53468.0,0.499,0.4925,1.2327,150.3777,36.0786,1.2703,4.939,2635954.0,108215.0,8.0,2.25,43,608.0,1941.0,2549.0,0.2636,0.7341,0.3727,515.8,119.034,36.8,5.1319,4.0,363.0,77.0,10.0,450.0,0.9756,0.0222,450.0,0.0,0.0,0.0,4.0,187,5,15.8,133,5,40.3,191,7,14.0,29,1,87.3,196,7,11.8,67,1,70.1,140,1,20.8,215,6,3.2,149,2,16.7,Bottom 25%,118.5543
Yadgir,Karnataka,18411.0,15624.0,34035.0,0.5042,0.4891,1.1904,291.8234,137.9465,4.2936,118.6009,2635954.0,65183.0,18.0,2.2661,22,1322.0,3829.0,5151.0,0.2567,0.7417,0.3479,610.1979,46.0251,22.75,4.0101,24.0,536.0,89.0,21.0,646.0,0.9642,0.0327,323.0,0.0,0.0,0.0,10.0,171,3,23.1,180,7,19.0,164,6,26.2,67,4,70.1,157,4,29.4,73,2,67.4,140,1,20.8,103,1,53.8,149,2,16.7,Bottom 25%,52.6043
Ashoknagar,Madhya Pradesh,106904.0,56758.0,163662.0,0.6471,0.3507,1.9277,1157.488,241.898,98.1085,14.5516,5923771.0,267101.0,1.0,2.2558,33,7848.0,46221.0,54069.0,0.145,0.8538,0.1715,1068.4846,164.4529,-21.9444,0.1255,2.0,3612.0,1901.0,243.0,5756.0,0.9406,0.0559,319.8889,76.6564,95.3333,37.7991,3.0,49,9,78.3,12,1,95.0,28,2,87.8,126,24,43.4,96,6,57.0,37,6,83.7,61,13,72.9,43,14,81.0,74,14,67.0,Top 25%,28.4283
Balaghat,Madhya Pradesh,36667.0,31469.0,68136.0,0.5383,0.4603,1.2322,834.9554,123.1999,7.075,3.5196,5923771.0,126762.0,22.0,2.25,20,6993.0,28728.0,35721.0,0.1971,0.8006,0.2506,653.953,104.365,-38.5,-3.2291,14.0,288.0,40.0,10.0,338.0,0.9676,0.0295,338.0,0.0,0.0,0.0,34.0,198,28,10.9,110,19,50.7,46,5,79.6,58,6,74.2,164,24,26.2,68,18,69.7,140,23,20.8,111,28,50.2,149,23,16.7,Bottom 25%,200.9912
Barwani,Madhya Pradesh,52954.0,39375.0,92329.0,0.6003,0.3974,1.5594,2488.4741,603.1365,124.1944,12.1823,5923771.0,143427.0,16.0,2.25,9,7392.0,35507.0,42899.0,0.1703,0.829,0.209,2295.1299,299.2916,36.7895,4.5311,10.0,7239.0,5772.0,435.0,13446.0,0.9639,0.0344,788.9389,121.5968,164.3333,19.0472,4.0,10,1,95.9,65,9,71.0,36,3,84.2,69,9,69.2,149,21,33.0,53,13,76.5,105,19,52.9,6,1,97.7,48,7,78.7,Top 10%,6.8661
Betul,Madhya Pradesh,42009.0,48160.0,90169.0,0.4693,0.5278,0.9099,909.847,267.4231,146.2024,29.8895,5923771.0,155822.0,12.0,2.25,21,3832.0,10144.0,13976.0,0.2783,0.7198,0.3898,710.9095,115.0766,-36.7619,-1.6392,29.0,906.0,232.0,53.0,1191.0,0.9515,0.0456,341.3333,78.7246,111.3333,49.9253,27.0,143,21,35.7,69,10,69.2,100,17,55.2,103,17,53.8,118,13,47.1,121,28,45.7,46,8,79.6,37,13,83.7,72,13,67.9,Below average,75.6451
Bhind,Madhya Pradesh,31672.0,14940.0,46612.0,0.6844,0.3127,2.2388,468.2531,103.1946,108.3375,27.9207,5923771.0,83365.0,38.0,2.25,20,2515.0,10529.0,13044.0,0.191,0.8087,0.2364,2414.4933,162.892,144.8,6.1331,18.0,4017.0,2537.0,393.0,6947.0,0.929,0.067,282.8373,46.4507,52.4762,35.2475,9.0,38,5,83.3,146,25,34.4,105,18,52.9,148,26,33.5,73,4,67.4,22,2,90.5,66,14,70.6,128,29,42.5,100,20,55.2,Top 25%,6.7087
Bhopal,Madhya Pradesh,52617.0,52015.0,104632.0,0.4987,0.4974,1.052,761.7101,181.7707,130.2,20.4708,5923771.0,186438.0,4.0,2.2609,30,4164.0,30158.0,34322.0,0.1229,0.8751,0.1404,749.6635,63.0472,13.2,0.2288,5.0,1924.0,360.0,65.0,2349.0,0.9551,0.0414,417.7,73.6805,104.2,17.2,12.0,93,15,58.4,38,5,83.3,48,6,78.7,91,12,59.3,132,18,40.7,90,24,59.7,108,20,51.6,63,18,71.9,75,15,66.5,Above average,44.5243
Burhanpur,Madhya Pradesh,21424.0,25451.0,46875.0,0.4773,0.5206,0.9384,1765.0475,602.3573,407.8,32.4589,5923771.0,74141.0,39.0,2.25,5,921.0,3556.0,4477.0,0.2042,0.7948,0.2589,1061.3958,140.2407,72.75,6.9306,48.0,4119.0,2032.0,336.0,6487.0,0.9303,0.0665,396.75,139.7352,165.1667,49.2217,21.0,43,7,81.0,144,24,35.3,169,26,24.0,143,25,35.7,74,5,67.0,115,26,48.4,49,10,78.3,7,2,97.3,42,6,81.4,Top 25%,7.2249
Chhatarpur,Madhya Pradesh,58394.0,36340.0,94734.0,0.6152,0.3834,1.6409,1113.4044,167.8772,67.2125,9.7946,5923771.0,158531.0,11.0,2.25,20,3528.0,13781.0,17309.0,0.2137,0.7854,0.2783,1387.3308,321.3042,-63.5385,0.0283,12.0,2849.0,2813.0,225.0,5887.0,0.9529,0.0438,316.7396,50.8591,72.6875,24.6338,6.0,48,8,78.7,58,6,74.2,85,13,62.0,98,16,56.1,125,15,43.9,51,12,77.4,87,16,61.1,75,19,66.5,97,19,56.6,Top 25%,16.0893
Datia,Madhya Pradesh,18447.0,9745.0,28192.0,0.6498,0.3483,1.9395,683.3296,147.135,86.3333,17.8513,5923771.0,47034.0,48.0,2.25,9,1530.0,7131.0,8661.0,0.1752,0.8245,0.2126,2916.4722,409.6855,54.3333,3.6327,39.0,672.0,439.0,30.0,1141.0,0.9693,0.0284,436.25,189.8582,268.5,88.9073,42.0,145,22,34.8,190,29,14.5,134,23,39.8,52,5,76.9,171,26,23.1,36,5,84.2,33,5,85.5,93,24,58.4,23,4,90.0,Below average,24.6865
Dewas,Madhya Pradesh,34860.0,34511.0,69371.0,0.5128,0.4839,1.093,957.1289,283.6308,263.1071,32.2932,5923771.0,119901.0,26.0,2.2679,15,2232.0,13186.0,15418.0,0.1388,0.8603,0.1629,1793.637,566.2158,-116.0,-4.6408,31.0,1489.0,444.0,40.0,1973.0,0.9776,0.0208,637.6667,28.2843,40.0,7.9681,18.0,105,16,52.9,107,18,52.0,94,16,57.9,23,2,90.0,199,28,10.4,83,22,62.9,131,22,41.2,31,11,86.4,122,22,45.2,Above average,35.1424
Dhar,Madhya Pradesh,54088.0,38655.0,92743.0,0.5727,0.4242,1.4641,1191.0029,222.2649,115.1159,11.6513,5923771.0,146391.0,14.0,2.2609,18,5939.0,27727.0,33666.0,0.1625,0.8365,0.197,1506.7242,254.5467,35.7727,2.9147,7.0,1806.0,1066.0,196.0,3068.0,0.8882,0.1075,480.4167,43.7228,61.8333,13.5695,14.0,79,11,64.7,64,8,71.5,49,7,78.3,189,29,14.9,30,1,86.9,60,15,73.3,119,21,46.6,47,16,79.2,105,21,52.9,Above average,30.2193
Guna,Madhya Pradesh,57734.0,29240.0,86974.0,0.5895,0.4072,1.8133,1281.2402,311.3439,226.9286,19.3863,5923771.0,132886.0,20.0,2.2321,15,2566.0,18291.0,20857.0,0.126,0.8731,0.1449,1454.6969,326.4293,-23.7143,0.066,26.0,1270.0,543.0,43.0,1856.0,0.9589,0.0381,618.6667,0.0,0.0,0.0,20.0,110,17,50.7,75,12,66.5,72,12,67.9,82,10,63.3,141,20,36.7,45,9,80.1,140,23,20.8,24,8,89.6,149,23,16.7,Above average,46.8358
Gwalior,Madhya Pradesh,40702.0,31845.0,72547.0,0.5582,0.44,1.3636,910.9683,124.986,86.6111,10.4214,5923771.0,127120.0,21.0,2.25,18,3533.0,20888.0,24421.0,0.1442,0.8552,0.1692,2024.0736,109.5465,31.1667,2.2757,11.0,4670.0,3088.0,383.0,8141.0,0.9465,0.0507,338.2885,151.6726,163.625,112.8466,5.0,28,3,87.8,103,16,53.8,65,10,71.0,113,20,49.3,106,9,52.5,62,16,72.4,25,4,89.1,107,26,52.0,36,5,84.2,Top 25%,8.9102
Indore,Madhya Pradesh,55948.0,59484.0,115432.0,0.4856,0.5105,0.9941,888.7763,148.079,102.1034,17.2666,5923771.0,221624.0,2.0,2.2586,30,12085.0,81587.0,93672.0,0.1275,0.8716,0.1466,1357.529,109.6624,66.4923,5.4494,1.0,5100.0,2001.0,185.0,7286.0,0.9697,0.0285,630.3,98.2629,148.9,37.8346,2.0,33,4,85.5,28,2,87.8,8,1,96.8,51,4,77.4,169,25,24.0,103,25,53.8,60,12,73.3,91,23,59.3,58,10,74.2,Top 25%,15.8408
Jabalpur,Madhya Pradesh,43908.0,35338.0,79246.0,0.5509,0.4451,1.3592,686.4473,158.9554,116.34,21.7148,5923771.0,158664.0,10.0,2.25,25,3502.0,26335.0,29837.0,0.1214,0.8774,0.1398,1237.0613,164.7904,-30.24,-3.3781,4.0,486.0,110.0,25.0,621.0,0.9463,0.0495,310.5,0.0,0.0,0.0,15.0,174,25,21.7,85,13,62.0,54,8,76.0,115,21,48.4,110,11,50.7,63,17,71.9,140,23,20.8,84,21,62.4,149,23,16.7,Bottom 25%,127.4051
