district,mae,rmse
Farrukhabad,213.9171142578125,255.04834100617083
Rajnandgaon,214.3709716796875,232.04981617639777
Kota,214.38987731933594,248.69785100348173
Yadgir,214.63623046875,253.18787799280597
Shahdol,215.32408142089844,273.00174564460207
Etah,215.635009765625,245.0044084424809
Kolhapur,218.19424438476562,268.28209267485596
Nanded,218.33468627929688,278.8600679552381
Ambedkar Nagar,220.19415283203125,252.20892102332542
Pudukkottai,221.69674682617188,254.24392353849876
Bastar,221.9722137451172,333.1555802099073
Seoni,222.2923583984375,267.621993210573
Sonipat,223.57083129882812,258.4703652016997
Singrauli,223.98965454101562,284.43820726126086
Sidhi,224.48892211914062,276.0757510403621
Banswara,225.8582305908203,267.36838175539754
Kishanganj,226.010986328125,252.0397181621381
Kannur,227.7524871826172,273.05977482045944
Kozhikode,228.08995056152344,283.5936243112669
Junagadh,229.05349731445312,282.1140615956603
Mau,229.14749145507812,269.7233826070702
Firozabad,229.60719299316406,269.32383504806995
Ganjam,230.76776123046875,291.19713844318596
Prakasam,230.7859649658203,278.41491911803143
Madurai,232.21304321289062,281.26829107188746
Sirohi,232.69837951660156,256.8732360036756
Kamrup,234.33267211914062,276.0739116387132
Ganganagar,235.78598022460938,287.9033176476089
Valsad,237.3367462158203,288.171511972471
Krishna,238.43130493164062,301.0624416130315
Tiruvannamalai,238.482421875,288.95224248567445
Khagaria,238.502685546875,313.43645937015685
East Khasi Hills,238.604736328125,274.07088784199607
Sri Potti Sriramulu Nellore,238.68154907226562,299.1739930625655
Bokaro,239.55567932128906,277.7345995955491
Barpeta,240.15390014648438,288.821068094071
Dehradun,240.45321655273438,285.92915971442994
Mandla,241.9331817626953,278.8209270750673
Barwani,242.1834716796875,313.17976068066724
Darrang,243.082763671875,294.3261371336226
Chatra,243.34278869628906,293.3139316500326
Damoh,243.3982696533203,274.8982624308491
Hisar,244.97103881835938,276.54668740106075
Udham Singh Nagar,245.6676483154297,289.718991006803
Chittoor,246.2240753173828,294.79363809705933
Pilibhit,246.2678680419922,286.99036351417794
Palakkad,246.2771453857422,321.14750310410324
Tirunelveli,247.04763793945312,315.5954194059223
Mahesana,249.37730407714844,290.3823180309021
Surendranagar,250.0753631591797,274.47580722169306
Mirzapur,250.34202575683594,302.5589172995898
Godda,250.9320526123047,284.2469491920714
Raisen,251.5123291015625,340.3534468019973
Vellore,251.51840209960938,294.89577078181367
Hazaribagh,252.51100158691406,286.80391276096634
Nalgonda,252.62652587890625,281.2654579085388
Salem,252.66888427734375,333.621358635055
Medak,252.9416961669922,281.2313882730731
Jalpaiguri,253.3375244140625,280.81954559378516
Thrissur,254.21768188476562,277.56471655273475
Koppal,255.75149536132812,277.6937246095057
Palwal,256.5364685058594,308.0529581094783
Jhabua,257.15576171875,313.36632417188673
Dhubri,257.29034423828125,313.2329903602109
Deoria,257.29730224609375,312.84277450901754
Jamui,257.8328552246094,301.524291620924
Sehore,260.21197509765625,366.4380703133887
Nizamabad,260.3357849121094,293.33851498737766
Vidisha,260.8628234863281,338.41994991430397
Anand,260.96759033203125,316.42987720425515
Maharajganj,263.1664123535156,309.597142469048
East Godavari,263.29364013671875,322.56883955211794
Garhwa,263.93170166015625,321.70831849285463
Guna,264.4002685546875,337.50017361106643
Neemuch,266.27276611328125,314.55874352018895
Aurangabad,266.5218200683594,328.7379513001199
Karauli,266.64013671875,293.13290234550607
Nagaon,266.94024658203125,321.9541164902229
Ludhiana,267.3273620605469,334.0927313261993
Bhind,268.51568603515625,317.5058685481262
Sonitpur,270.63824462890625,313.45479139741985
Chandauli,271.32183837890625,309.42242060813885
Betul,273.5052490234375,329.52451540059957
Kolkata,274.0223083496094,311.34295800611903
Panna,274.73309326171875,309.71027287611884
Cuddalore,278.3524169921875,319.28943325374865
Jhansi,279.3389587402344,340.6424307466702
Visakhapatnam,280.6983947753906,359.7330607547769
Bikaner,282.4873046875,327.84460638769093
Mainpuri,284.9212646484375,341.3845888437262
Tikamgarh,287.1907653808594,376.2581809741816
Tiruchirappalli,288.10394287109375,346.3018011792604
Balaghat,288.2860107421875,330.6910850779017
Jalgaon,291.70233154296875,361.7405406503396
Raichur,292.71673583984375,358.11542308311715
Churu,293.4066162109375,351.34527177692314
Gautam Buddha Nagar,295.49346923828125,332.05837683305026
Raipur,296.2312927246094,351.4581456233445
Supaul,298.74884033203125,395.9116062961529
Sultanpur,299.09356689453125,329.4925075020675
Madhepura,299.4352722167969,379.7962241452645
Bhavnagar,299.84735107421875,360.15975188102294
Solapur,303.4427490234375,436.10968373793304
Bilaspur,307.3574523925781,359.74672079811927
Pali,308.16668701171875,349.96831329778985
Saharsa,308.87506103515625,370.40507809019033
Karimganj,309.30548095703125,371.91088062195763
Sikar,311.13848876953125,349.7128062782374
Nagpur,316.3189697265625,389.6742229093426
Bhilwara,317.6790466308594,348.06258417129527
Kachchh,318.0054626464844,374.5543393487786
Banka,318.2104187011719,405.5529019129317
Faridabad,319.4309997558594,373.33375651017684
Ajmer,321.3666076660156,367.3762972076451
Kushinagar,324.42529296875,393.10494781928145
Rae Bareli,326.0624084472656,381.44753079552106
Shivpuri,326.50286865234375,373.07995959311455
Gopalganj,327.2137451171875,393.63075575340906
Dhar,330.1498718261719,427.2307265986378
Budaun,332.0712890625,391.5462536533838
Kheda,335.13800048828125,376.492322298875
Araria,336.1999816894531,460.898511062902
Guntur,338.9622802734375,454.43336970341426
Chhindwara,341.82794189453125,422.4527895220956
Dhanbad,342.7727355957031,407.6155319354256
Ballia,344.9294128417969,416.80066803569304
Shahjahanpur,350.08660888671875,403.47302806383476
Gonda,350.8346862792969,404.44962603518377
Rewa,351.93682861328125,407.77506054196107
Katni,352.4929504394531,410.6396877129633
Nawada,353.8314208984375,460.5406130299477
