district,mae,rmse
Surguja,2136.1826171875,2596.432456275341
Shahjahanpur,2136.71826171875,2425.102678238594
Meerut,2141.98388671875,2452.073204453733
Basti,2144.4404296875,2421.503148872617
Parbhani,2145.556884765625,2645.883028404695
Kishanganj,2170.27392578125,2820.175881040046
Katni,2179.595947265625,2473.9930274760277
Balaghat,2216.43408203125,2779.6967460498277
Bastar,2217.9765625,2527.387386215259
Bhilwara,2225.66455078125,2599.4580204342597
Vaishali,2251.466552734375,2477.7695615210064
Sitamarhi,2259.946044921875,2837.1075940119013
Jaunpur,2273.029296875,2576.9858362047703
Fatehpur,2275.9384765625,2555.9620497965143
Tiruppur,2290.103271484375,2623.381691633911
West Godavari,2312.739501953125,2483.413477453966
Pali,2323.36669921875,2583.5330460437312
Bulandshahr,2335.140380859375,2667.3665852297095
Dehradun,2361.3369140625,2596.4606679092985
Udaipur,2433.26416015625,2764.329484703298
Patna,2435.7705078125,2878.6411724978852
Nagaon,2437.27685546875,2701.535674389661
Pudukkottai,2450.27197265625,2794.360481398204
Krishna,2453.1083984375,2828.9982325904693
Kozhikode,2493.64111328125,3132.453351607969
Barmer,2506.060302734375,2942.153293083146
Dindigul,2509.54736328125,2767.9750721420887
Bhopal,2512.552001953125,2820.678907639081
Dhule,2512.905517578125,3045.459242872904
Murshidabad,2534.09912109375,2876.623454677376
Jabalpur,2546.920166015625,2941.1531752018627
Azamgarh,2572.360107421875,2900.493406301762
Moradabad,2601.35888671875,3075.8085115949593
Katihar,2601.4384765625,3162.0551861091863
Washim,2601.70849609375,3142.4439533585955
Varanasi,2618.948974609375,3074.3970140500724
Jalna,2630.4931640625,3104.920449866631
Ganjam,2636.01708984375,3002.30494786922
Samastipur,2668.80078125,3139.6413807949466
Akola,2675.45361328125,3199.213965961014
Pashchimi Singhbhum,2693.42431640625,3094.522903453778
Satara,2707.478515625,2991.7900995892073
Chittoor,2708.20947265625,3051.281697909913
Aligarh,2726.813720703125,3070.6771240232993
Rajnandgaon,2744.2255859375,3103.9906572024342
Thanjavur,2763.8359375,3083.1402822447117
Ratlam,2766.394287109375,3437.725992571252
Tiruchirappalli,2769.43212890625,3059.5239825829117
Vadodara,2819.474609375,2980.5764543121522
Saharanpur,2852.354736328125,3258.7618814512975
Hardoi,2855.40478515625,3512.078159722531
Jodhpur,2889.009033203125,3237.3103033228062
Latur,2924.27587890625,3564.684137479785
Muzaffarpur,2942.05908203125,3496.292178866063
North 24 Parganas,2945.370361328125,3370.475337396789
Ashoknagar,2976.181640625,3318.174799494445
Bijnor,2993.71240234375,3452.851140724141
Darbhanga,3034.156005859375,3643.142599459977
Raigarh,3063.416015625,3593.4148104553697
South 24 Parganas,3078.91259765625,3568.151061824597
Alwar,3113.821044921875,3530.2926224323105
Bahraich,3137.32080078125,3559.0449561645046
Viluppuram,3137.926513671875,3650.4972264062876
